City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
7,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
14,Paragominas,BR,76.03,overcast clouds,-2.9667,-47.4833,INOVA
17,Sambava,MG,73.45,light rain,-14.2667,50.1667,Melrose
18,Port Blair,IN,82.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
25,Auki,SB,86.81,scattered clouds,-8.7676,160.7034,Auki Motel
28,Bouna,CI,75.13,few clouds,9.2667,-3.0,Hotel Reserve
32,Byron Bay,AU,71.56,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
33,Kavieng,PG,83.03,moderate rain,-2.5744,150.7967,Nusa Island Retreat
34,Sao Filipe,CV,80.33,overcast clouds,14.8961,-24.4956,Hotel Xaguate
35,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
38,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
44,Vila Velha,BR,71.55,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
46,Gewane,ET,75.22,broken clouds,10.1664,40.6453,Ayelu pension
47,Rikitea,PF,74.59,moderate rain,-23.1203,-134.9692,People ThankYou
50,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
52,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
53,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
57,Manzanillo,CU,76.91,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
58,Bengkulu,ID,81.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
59,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
66,Airai,TL,76.53,broken clouds,-8.9266,125.4092,Juvinal Martin
68,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
70,Sur,OM,79.66,clear sky,22.5667,59.5289,Sur Plaza Hotel
71,Vilhena,BR,72.7,scattered clouds,-12.7406,-60.1458,Hotel Mirage
72,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
75,Butaritari,KI,82.49,clear sky,3.0707,172.7902,Isles Sunset Lodge
79,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Ponta Do Sol,PT,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
85,Isangel,VU,86.11,scattered clouds,-19.55,169.2667,Tanna Lodge
86,Ballina,AU,71.64,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
91,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
92,San Buenaventura,MX,79.12,clear sky,27.0833,-101.5333,Hotel Gran Plaza
105,Rajanpur,PK,71.58,clear sky,29.1035,70.325,Style Inn Shoes Rajanpur
110,Keti Bandar,PK,78.71,scattered clouds,24.1447,67.4497,Haji laloo memon house
113,Asilah,MA,71.46,few clouds,35.465,-6.0348,HOTEL ZELIS
118,Barabai,ID,88.23,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
120,Goianesia,BR,70.84,overcast clouds,-15.3175,-49.1175,Kamur Plaza Hotel - Goianésia
129,South Venice,US,73.98,broken clouds,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
130,Salta,AR,71.89,clear sky,-24.7859,-65.4117,Hotel Alejandro I
137,Puerto Ayora,EC,70.65,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
143,Muscat,OM,75.22,clear sky,23.6139,58.5922,Mutrah Hotel
152,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
154,Ribeira Grande,PT,70.86,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
157,Cururupu,BR,74.43,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
160,Kavaratti,IN,81.79,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
162,Mahebourg,MU,73.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
163,Bandarbeyla,SO,78.21,light rain,9.4942,50.8122,JABIR HOTEL
164,Honiara,SB,88.09,scattered clouds,-9.4333,159.95,Heritage Park Hotel
166,Ende,ID,86.54,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
169,Hithadhoo,MV,82.65,overcast clouds,-0.6,73.0833,Scoop Guest House
170,Atuona,PF,78.35,few clouds,-9.8,-139.0333,Villa Enata
171,Sinnamary,GF,78.91,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
178,Valdez,EC,76.35,broken clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
184,Hagdan,PH,82.99,overcast clouds,11.3333,123.9,Chicco's Bed and Breakfast
193,Tahta,EG,75.31,overcast clouds,26.7693,31.5021,مصطفي عساف
195,Barra Do Garcas,BR,72.91,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
196,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
197,Sungai Padi,TH,83.98,overcast clouds,6.0851,101.8766,237บอล&บาส
209,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
210,Koulamoutou,GA,70.16,light rain,-1.1303,12.4736,Motel Bouenguidi
212,Lodwar,KE,83.17,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
218,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
221,Buluang,PH,86.04,broken clouds,13.3068,123.3425,Enon Beach Resort
222,Domoni,KM,75.13,clear sky,-12.2569,44.5319,Al Djadid
226,Nong Khai,TH,86.18,overcast clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
229,San Policarpo,PH,83.48,few clouds,12.1791,125.5072,Agapita M. Nicart
232,Reconquista,AR,76.55,clear sky,-29.15,-59.65,Grand Hotel
236,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
243,San Juan,AR,75.79,overcast clouds,-31.5375,-68.5364,Hotel Provincial
244,Ranong,TH,78.73,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
246,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
247,Arraial Do Cabo,BR,70.68,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
248,Lafiagi,NG,75.42,scattered clouds,8.8667,5.4167,Bus group international
249,Birnin Kebbi,NG,78.71,broken clouds,12.4539,4.1975,Saffar Guest Inn Ltd
252,Ciudad Bolivar,VE,76.59,light rain,8.1222,-63.5497,Hotel Edi
254,Wewak,PG,84.67,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
258,Atar,MR,80.38,overcast clouds,20.5169,-13.0499,Oumou Elghoura
259,Mancio Lima,BR,77.02,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
260,Bindura,ZW,70.02,scattered clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
264,Souillac,MU,73.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
265,Meulaboh,ID,79.29,broken clouds,4.1363,96.1285,Kost Pria
269,Ponta Delgada,PT,74.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
270,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
271,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
273,Faanui,PF,78.58,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
275,Hervey Bay,AU,85.03,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
281,Kulhudhuffushi,MV,80.1,few clouds,6.6221,73.07,Haajy Guest House 1
282,Koungou,YT,76.71,few clouds,-12.7336,45.2042,Villa Netibor
284,Moa,CU,78.46,overcast clouds,20.6569,-74.9403,Carmen
285,Manaure,CO,77.61,overcast clouds,11.7751,-72.4445,Hotel Palaaima
291,Port-Gentil,GA,76.08,light rain,-0.7193,8.7815,Fengshui Residence
292,Myanaung,MM,78.67,overcast clouds,18.2833,95.3167,Taung Hlay Khar
294,Quatre Cocos,MU,73.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
304,Gushikawa,JP,80.6,few clouds,26.3544,127.8686,Kirari Guest House
307,Geraldton,AU,72.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
310,Takoradi,GH,77.54,overcast clouds,4.8845,-1.7554,Raybow International Hotel
316,Angoche,MZ,72.18,clear sky,-16.2325,39.9086,Guest House HESADA
317,Dhidhdhoo,MV,80.22,light rain,6.8833,73.1,Dhidhoo beach
321,Sola,VU,81.1,clear sky,-13.8833,167.55,Leumerus Bungalows
327,Mehran,IR,78.67,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
329,Mlonggo,ID,87.69,overcast clouds,-6.5333,110.7,Asia Metal Art
330,Rock Sound,BS,81.59,broken clouds,24.9,-76.2,Rock Sound Club
334,Manado,ID,74.17,moderate rain,1.487,124.8455,Aryaduta Hotel
337,Kushima,JP,71.11,broken clouds,31.4583,131.2333,Hanaoka
338,Mitsamiouli,KM,77.77,clear sky,-11.3847,43.2844,Foyer ADM
340,Sakakah,SA,72.97,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
345,Umm Lajj,SA,82.18,clear sky,25.0213,37.2685,Moon light Furnished Units
346,Sao Tome,ST,78.57,moderate rain,0.3365,6.7273,Pestana Miramar São Tomé
347,Boyolangu,ID,84.83,overcast clouds,-8.1181,111.8935,Yos ega cv
352,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
355,Saquarema,BR,71.62,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
356,Moussoro,TD,82.54,overcast clouds,13.6408,16.4901,Hôtel Salama
357,Itarema,BR,79.59,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
358,Dingle,PH,82.63,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
359,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
361,Clearwater,US,71.91,broken clouds,27.9659,-82.8001,Shephard's Beach Resort
362,Arlit,NE,79.95,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
363,Pringsewu,ID,86.11,scattered clouds,-5.3582,104.9744,Urban Style by Front One
364,Darlawn,IN,70.93,few clouds,24.0167,92.9,BNRGSK BUILDING
365,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
366,Celestun,MX,75.6,few clouds,20.8667,-90.4,Posada Lilia
367,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
369,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
371,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
372,Soe,ID,86.67,broken clouds,-9.8607,124.284,Dena Hotel
374,Mahbubnagar,IN,73.53,broken clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
375,Midland,US,72.99,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
376,Esperance,AU,72.52,clear sky,-33.8667,121.9,Hospitality Esperance
378,Lorengau,PG,83.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
380,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
381,Iaciara,BR,75.33,broken clouds,-14.0958,-46.6317,Hotel Matinha
388,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
390,Porlamar,VE,87.89,overcast clouds,10.958,-63.8491,Hotel Bella Vista
391,Caramoran,PH,83.25,overcast clouds,13.9849,124.1347,Miguilas Inn and Resto Bar
392,Sao Francisco,BR,78.08,overcast clouds,-15.9486,-44.8644,Hotel Supremo
393,Grand-Santi,GF,73.47,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
396,Macapa,BR,82.38,few clouds,0.0389,-51.0664,Atalanta Hotel
399,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
402,Sulangan,PH,83.14,overcast clouds,11.1373,123.7228,Maia's Beach Resort
405,Buchanan,LR,76.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
412,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
413,Jibuti,DJ,72.43,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
414,Iracoubo,GF,79.38,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
415,Nishihara,JP,80.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
416,Maues,BR,79.05,broken clouds,-3.3836,-57.7186,Hotel Miramar
417,Novo Aripuana,BR,77.16,scattered clouds,-5.1206,-60.3797,POUSADA Flexy
421,Kieta,PG,82.44,light rain,-6.2167,155.6333,Uruna Bay Retreat
423,Lahaina,US,85.24,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
424,Gat,IL,74.39,overcast clouds,31.61,34.7642,OlusHome
427,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
430,Aboso,GH,73.35,overcast clouds,5.3617,-1.9473,New Atuabo
434,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
437,Nanakuli,US,81.77,clear sky,21.3906,-158.1547,Camp Pālehua
443,Arawa,PG,82.8,light rain,-6.2132,155.5367,Coastline Guest House
445,Breves,BR,76.46,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
448,Santa Rosalia,MX,73.85,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
453,Bontang,ID,83.86,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
455,Naze,JP,74.32,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
458,Matara,LK,78.57,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
461,Karratha,AU,80.06,clear sky,-20.7377,116.8463,ibis Styles Karratha
464,Cabo San Lucas,MX,80.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
467,Luganville,VU,84.63,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
468,Harper,LR,76.68,light rain,4.375,-7.7169,Screensaver
472,Trincomalee,LK,80.85,overcast clouds,8.5711,81.2335,Welcombe Hotel
473,Aracaju,BR,75.15,broken clouds,-10.9111,-37.0717,HOTEL FÊNIX
482,Nuevo Progreso,MX,76.59,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
487,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
494,Lazaro Cardenas,MX,78.84,clear sky,17.9583,-102.2,quinta antigua
501,Bambanglipuro,ID,83.86,overcast clouds,-7.95,110.2833,Puri Brata
502,Cockburn Town,TC,82.62,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
504,Kirakira,SB,87.31,few clouds,-10.4544,161.9205,SanBiz Lodge
505,Mozarlandia,BR,76.35,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
506,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
509,Gondanglegi,ID,88.75,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
514,Ferkessedougou,CI,72.84,scattered clouds,9.6,-5.2,Hotel Chateau
517,Ouahigouya,BF,83.7,few clouds,13.5828,-2.4216,Hotel Liberte
521,Augusto Correa,BR,76.35,scattered clouds,-1.0217,-46.635,Fazenda Bacuri
526,Inyonga,TZ,72.52,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
529,Vientiane,LA,86.05,broken clouds,17.9667,102.6,Mali Namphu Boutique Hotel
534,Rafaela,AR,80.98,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
536,Vao,NC,71.91,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
537,Limon,CR,78.08,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
539,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
543,Uruburetama,BR,76.33,broken clouds,-3.625,-39.5083,Pousada Casa Rosada
544,Santa Cruz Cabralia,BR,75.43,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
547,Sabang,ID,79.59,moderate rain,5.8933,95.3214,Hotel Citra
552,Buenos Aires,AR,76.98,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
560,Barinas,VE,76.69,light rain,8.6226,-70.2075,Hotel Mastranto Suite
562,Santa Teresa,VE,80.42,overcast clouds,10.2341,-66.6631,Funeraria Lira
565,Gigmoto,PH,84.4,broken clouds,13.7796,124.39,Cj's Travellers Inn
575,Sotouboua,TG,74.5,overcast clouds,8.5667,0.9833,Auberge Médina
577,Nuevitas,CU,74.64,overcast clouds,21.5453,-77.2644,Hotel Caonaba
580,Letlhakane,BW,72.3,few clouds,-21.4167,25.5833,Motswedi Hotel P650
583,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
585,Omboue,GA,74.05,very heavy rain,-1.5746,9.2618,Hotel Olako
586,Hobyo,SO,78.89,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
587,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
592,Sigli,ID,77.68,overcast clouds,5.3848,95.9609,Losmen Dua Mali
594,Maraba,BR,78.15,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
596,Labuan,MY,88.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
597,Parrita,CR,81.99,overcast clouds,9.5201,-84.3225,Beso del Viento
598,Srandakan,ID,83.88,overcast clouds,-7.9386,110.2506,Puri Brata
599,Barisal,BD,77.0,few clouds,22.7019,90.3711,Hotel Arefin Residential
600,Mirador,BR,77.97,scattered clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
604,Afua,BR,76.1,light rain,-0.1567,-50.3867,Hotel Dias
609,Antalaha,MG,71.38,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
612,San Patricio,US,71.44,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
620,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
623,Pochutla,MX,72.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
624,Soubre,CI,72.21,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
625,Coahuayana,MX,77.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
627,Balad,IQ,80.33,overcast clouds,34.0164,44.1453,رضاوي زنوبة
629,Ahuimanu,US,81.54,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
638,Kilindoni,TZ,78.51,scattered clouds,-7.9139,39.6668,Bustani B&B
639,Ohafia,NG,72.99,overcast clouds,5.6167,7.8333,Hill Flower Hotel
640,Santiago,CL,74.86,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
641,California City,US,73.56,haze,35.1258,-117.9859,Best Western California City Inn & Suites
642,Catamarca,AR,79.65,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
645,La Primavera,CO,73.85,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
651,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
657,Tikrit,IQ,74.26,overcast clouds,34.6071,43.6782,عماره العبطه
658,Mbour,SN,77.85,overcast clouds,14.422,-16.9638,Tama Lodge
664,Puerto Narino,CO,75.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
